"SpecName"	"LEVEL_3_CO"
"Ateles_belzebuth"	"CLM"
"Ateles_belzebuth"	"VEN"
"Ateles_belzebuth"	"BZN"
"Ateles_belzebuth"	"ECU"
"Ateles_belzebuth"	"PER"
"Ateles_chamek"	"BZN"
"Ateles_chamek"	"PER"
"Ateles_chamek"	"BZC"
"Ateles_chamek"	"BOL"
"Ateles_fusciceps"	"PAN"
"Ateles_fusciceps"	"CLM"
"Ateles_fusciceps"	"ECU"
"Ateles_geoffroyi"	"MXE"
"Ateles_geoffroyi"	"MXG"
"Ateles_geoffroyi"	"MXT"
"Ateles_geoffroyi"	"MXC"
"Ateles_geoffroyi"	"GUA"
"Ateles_geoffroyi"	"BLZ"
"Ateles_geoffroyi"	"MXS"
"Ateles_geoffroyi"	"HON"
"Ateles_geoffroyi"	"ELS"
"Ateles_geoffroyi"	"NIC"
"Ateles_geoffroyi"	"COS"
"Ateles_geoffroyi"	"PAN"
"Ateles_geoffroyi"	"CLM"
"Ateles_hybridus"	"CLM"
"Ateles_hybridus"	"VEN"
"Ateles_marginatus"	"BZN"
"Ateles_marginatus"	"BZC"
"Ateles_paniscus"	"VEN"
"Ateles_paniscus"	"GUY"
"Ateles_paniscus"	"SUR"
"Ateles_paniscus"	"FRG"
"Ateles_paniscus"	"BZN"
"Brachyteles_arachnoides"	"BZL"
"Brachyteles_arachnoides"	"BZS"
"Brachyteles_hypoxanthus"	"BZL"
"Brachyteles_hypoxanthus"	"BZE"
"Lagothrix_cana"	"BZN"
"Lagothrix_cana"	"BZC"
"Lagothrix_cana"	"PER"
"Lagothrix_cana"	"BOL"
"Lagothrix_lagotricha"	"CLM"
"Lagothrix_lagotricha"	"VEN"
"Lagothrix_lagotricha"	"BZN"
"Lagothrix_lagotricha"	"ECU"
"Lagothrix_lagotricha"	"PER"
"Lagothrix_lugens"	"CLM"
"Lagothrix_poeppigii"	"ECU"
"Lagothrix_poeppigii"	"CLM"
"Lagothrix_poeppigii"	"PER"
"Lagothrix_poeppigii"	"BZN"
"Arabitragus_jayakari"	"GST"
"Arabitragus_jayakari"	"OMA"
"Boselaphus_tragocamelus"	"IND"
"Boselaphus_tragocamelus"	"WHM"
"Boselaphus_tragocamelus"	"CHT"
"Boselaphus_tragocamelus"	"NEP"
"Bubalus_arnee"	"ASS"
"Bubalus_arnee"	"CHT"
"Bubalus_arnee"	"IND"
"Bubalus_arnee"	"MYA"
"Bubalus_arnee"	"THA"
"Bubalus_arnee"	"CBD"
"Bubalus_arnee"	"SRL"
"Bubalus_depressicornis"	"SUL"
"Capricornis_swinhoei"	"TAI"
"Cephalophus_adersi"	"KEN"
"Cephalophus_adersi"	"TAN"
"Cephalophus_callipygus"	"CMN"
"Cephalophus_callipygus"	"CAF"
"Cephalophus_callipygus"	"CON"
"Cephalophus_callipygus"	"EQG"
"Cephalophus_callipygus"	"GAB"
"Cephalophus_callipygus"	"CAB"
"Cephalophus_dorsalis"	"GNB"
"Cephalophus_dorsalis"	"GUI"
"Cephalophus_dorsalis"	"BKN"
"Cephalophus_dorsalis"	"SIE"
"Cephalophus_dorsalis"	"IVO"
"Cephalophus_dorsalis"	"GHA"
"Cephalophus_dorsalis"	"BEN"
"Cephalophus_dorsalis"	"CAF"
"Cephalophus_dorsalis"	"LBR"
"Cephalophus_dorsalis"	"NGA"
"Cephalophus_dorsalis"	"CMN"
"Cephalophus_dorsalis"	"ZAI"
"Cephalophus_dorsalis"	"SUD"
"Cephalophus_dorsalis"	"CON"
"Cephalophus_dorsalis"	"UGA"
"Cephalophus_dorsalis"	"EQG"
"Cephalophus_dorsalis"	"GAB"
"Cephalophus_dorsalis"	"RWA"
"Cephalophus_dorsalis"	"BUR"
"Cephalophus_dorsalis"	"CAB"
"Cephalophus_dorsalis"	"ANG"
"Cephalophus_harveyi"	"ETH"
"Cephalophus_harveyi"	"KEN"
"Cephalophus_harveyi"	"TAN"
"Cephalophus_harveyi"	"MLW"
"Cephalophus_harveyi"	"ZAM"
"Cephalophus_jentinki"	"GUI"
"Cephalophus_jentinki"	"SIE"
"Cephalophus_jentinki"	"LBR"
"Cephalophus_jentinki"	"IVO"
"Cephalophus_leucogaster"	"CMN"
"Cephalophus_leucogaster"	"CAF"
"Cephalophus_leucogaster"	"ZAI"
"Cephalophus_leucogaster"	"SUD"
"Cephalophus_leucogaster"	"CON"
"Cephalophus_leucogaster"	"UGA"
"Cephalophus_leucogaster"	"EQG"
