LEVEL_3_CO	LEVEL_NAME	CONTINENT	FruitSize	Frugivore	BodySize	Soil	THREEREALM	REALM_LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	ensLGM_Pmean	ensLGM_Tmean	ensLGM_Pano	NPP_Mean
MOZ	Mozambique	AFRICA	6.83125	1	104711.3309	60.01182	OWWest	Afrotropics	3433578.679	-2153416.234	989.9086	95.8197	30.4026	239.403875	205.0442	2340.2329	135.1966	7058.38	1160.7853	199.2528	-170.6474	104711.3309
MTN	Mauritania	AFRICA	7	1	12126.92928	63.37307	OWWest	Afrotropics	-998007.82	2522330.882	91.0809	117.4535	0.6802	276.496425	207.5196	5027.0581	124.2525	9.40624	126.2056	248.6997	-35.1399	12126.92928
NAM	Namibia	AFRICA	4.2	1	128800.7016	67.03737	OWWest	Afrotropics	1646091.551	-2754871.901	275.4239	100.9501	2.3247	198.055175	147.4125	3572.4551	55.8004	2748.57	228.7553	173.3291	46.4889	178800.7016
NGA	Nigeria	AFRICA	4.925	1	87648.34084	53.91654	OWWest	Afrotropics	781598.6985	1215518.961	1173.0243	100.835	19.5762	264.0748333	242.0831	1878.1165	163.5546	4326.57	1527.8236	238.5762	-353.9321	87648.34084
NGR	Niger	AFRICA	7.75	1	136180.5003	70.63203	OWWest	Afrotropics	904156.1452	2182541.092	133.8012	144.301	0.0271	270.9845583	203.5357	4703.5664	111.7409	289.818	158.5296	249.2258	-24.7485	196180.5003
REU	RÚunion	AFRICA	1.958333333	1	7293.15	44.41148	OWWest	Afrotropics	5358671.39	-2635446.697	1556.0596	51.5992	173.1408	188.5728833	161.7018	2120.2588	131.1017	16216.3	2068.7881	176.1136	-522.4028	7293.15
ROD	Rodrigues	AFRICA	2.6	1	32253.8	48.01538	OWWest	Afrotropics	6118534.618	-2467357.527	1086.7084	45.3542	134.2361	237.998275	214.2569	1785.7361	182.4236	14143.5	1441.8671	224.8038	-355.5833	32253.8
RWA	Rwanda	AFRICA	6.0375	1	73719.12724	47.98571	OWWest	Afrotropics	2886604.389	-254820.1425	1148.2219	50.9904	72.0586	189.8135	186.8387	294.927	126.401	10129.8	744.3334	171.8828	403.7939	73719.12724
SEN	Senegal	AFRICA	6.89	1	109243.9379	59.6565	OWWest	Afrotropics	-1395786.365	1813184.952	668.2736	136.5029	0.4099	276.3872583	246.9189	2218.1555	152.1108	1064.85	896.2498	248.9842	-228.1522	139243.9379
SEY	Seychelles	AFRICA	9.066666667	1	13457	40.44531	OWWest	Afrotropics	5357112.431	-599117.3115	2236.7626	48.2802	233.3774	255.527875	247.9455	610.2607	228.8988	14634.1	2619.3455	238.1087	-403.4786	13457
SIE	Sierra Leone	AFRICA	4.6	1	75537.5967	41.26606	OWWest	Afrotropics	-1137772.452	1087865.645	2728.074	81.4272	54.9249	260.5988667	248.2048	1069.2091	185.4028	6824.24	6014.7173	235.6559	-3264.9805	75537.5967
SOM	Somalia	AFRICA	4.171428571	1	104625.0721	45.23281	OWWest	Afrotropics	4424060.471	768056.7507	269.1221	104.8832	8.3495	263.8726833	242.6047	1621.1226	177.8038	2114.53	249.8359	232.7738	18.9835	134625.0721
SUD	Sudan	AFRICA	6.25	1	93419.79448	51.26979	OWWest	Afrotropics	2898550.311	1729994.191	413.8888	126.7227	3.8345	267.837475	225.2011	3082.0916	136.6167	3140.65	345.0141	232.8687	68.8254	93419.79448
SWZ	Swaziland	AFRICA	1.9	1	61298.75168	50.91499	OWWest	Afrotropics	3039043.563	-3271232.412	858.1371	66.6082	44.9272	197.34155	155.8621	2897.8848	77.6046	8833.67	863.8727	167.7203	-5.8505	81298.75168
TAN	United Republic of Tanzania	AFRICA	5.694444444	1	60662.86456	50.94292	OWWest	Afrotropics	3359448.44	-795816.9062	979.3262	87.5919	21.8191	224.884475	206.6386	1270.0284	142.6593	7719.99	847.6539	195.1237	132.1674	60662.86456
TOG	Togo	AFRICA	6.711111111	1	86717.31244	53.9523	OWWest	Afrotropics	94229.06211	1084038.277	1190.3748	75.6446	35.5609	267.5333	249.2098	1391.4534	193.4132	5802.22	1645.9443	241.6546	-455.8537	86717.31244
UGA	Uganda	AFRICA	5.316666667	1	56839.81109	45.74518	OWWest	Afrotropics	3124806.59	163146.078	1195.655	46.7071	124.1569	224.6812583	215.1988	741.3419	155.8098	9114.88	755.0414	206.966	440.5867	56839.81109
ZAI	Democratic Republic of the Congo	AFRICA	5.0125	1	62288.67253	50.54233	OWWest	Afrotropics	2281986.481	-363434.0893	1595.195	51.0977	139.0588	239.2782833	230.0166	672.531	166.3274	10232.7	1152.0592	215.7222	443.1083	62288.67253
ZAM	Zambia	AFRICA	5.6	1	81671.62783	55.52504	OWWest	Afrotropics	2683695.261	-1696990.169	1018.87	109.5142	0.8057	212.2213167	174.6669	2544.7458	80.9248	7870.38	964.0432	184.0633	54.8353	81671.62783
ZIM	Zimbabwe	AFRICA	7.475	1	123172.1502	56.17904	OWWest	Afrotropics	2882186.901	-2378106.824	673.6836	104.4438	7.4277	204.722925	158.9119	3130.4409	68.4786	6320.49	716.7998	167.029	-43.0572	123172.1502
BIS	Bismarck Archipelago	ASIA-TROPICAL	2.547083333	1	30060.5435	30.14879	OWEast	Australasia	14533423.54	-628731.5466	3426.9629	26.1429	634.7924	246.50265	239.9489	431.2138	204.9019	10776.4	3238.0623	228.037	190.1968	26553.329
LSI	Lesser Sunda Is.	ASIA-TROPICAL	4.278571429	1	51367.71	37.49825	OWEast	Australasia	11876250.23	-1096890.867	1736.9007	72.8135	93.5781	244.4719833	232.3742	793.3922	180.8103	12842	1602.6456	225.8287	124.1233	51367.71
MOL	Maluku	ASIA-TROPICAL	2.423837209	1	4197.180142	39.11414	OWEast	Australasia	12349296.25	-180975.4479	2230.0856	29.8792	360.6084	250.3061083	243.1146	527.8225	211.2492	13565.6	1783.8713	231.965	441.4235	4197.180142
NSW	New South Wales	AUSTRALASIA	1.9875	1	6520.222925	56.21278	OWEast	Australasia	14185658.53	-3890210.766	574.2669	24.3348	105.1716	171.215975	100.3648	5405.5298	32.9251	4835.86	623.8718	140.0583	-47.6378	6520.222925
NTA	Northern Territory	AUSTRALASIA	2.267857143	1	14472.41415	62.38719	OWEast	Australasia	12867552.73	-2414297.181	553.5365	86.0508	16.7772	248.0838417	182.9047	4617.4204	95.0976	1824.48	545.4139	214.9345	10.5955	14472.41415
NWG	New Guinea	ASIA-TROPICAL	1.82906746	1	1730.728741	37.98023	OWEast	Australasia	13587216.28	-679375.3791	3045.2995	25.4392	552.9183	240.158625	231.3531	584.7695	189.8732	10201.8	2736.7778	215.0406	306.7797	1730.728741
QLD	Queensland	AUSTRALASIA	2.0125	1	10251.38624	54.23993	OWEast	Australasia	13942878.19	-2787804.733	631.2155	73.5945	44.1535	228.5472167	163.6285	4652.4341	83.1586	3308.45	679.7714	193.248	-46.7858	10251.38624
SUL	Sulawesi	ASIA-TROPICAL	2.486774194	1	19036.09319	37.08924	OWEast	Australasia	11703308.66	-267924.9821	2136.3988	31.834	318.8135	240.1116333	233.5668	457.848	191.1817	11559.4	1760.6176	217.3171	376.0712	16676.535
VIC	Victoria	AUSTRALASIA	4	1	6519.069923	51.65213	OWEast	Australasia	13922646	-4389264.996	703.0347	24.0128	119.2821	137.8820583	82.4269	4348.9756	31.2298	7866.83	740.483	111.5833	-36.6365	6519.069923
WAU	Western Australia	AUSTRALASIA	1.891666667	1	9647.904767	66.49033	OWEast	Australasia	11793293.08	-3112090.165	334.419	64.033	24.0764	223.157625	153.5896	5156.1953	78.1346	1969.97	321.2388	194.7824	14.008	9647.904767
AND	Andaman Is.	ASIA-TROPICAL	2.114347826	1	19349.856	34.56086	OWEast	IndoMalay	8952075.257	1554429.397	2922.9719	75.5446	69.7407	265.5384917	258.3032	669.7572	224.0162	15579	2811.7681	253.9907	107.756	17854.553
ASS	Assam	ASIA-TROPICAL	2.375609756	1	55290.57295	32.85338	OWEast	IndoMalay	8958665.048	3145187.498	2500.3132	85.664	50.0547	225.1418167	168.6252	3721.4417	95.2841	9476.54	2623.05	197.0592	-122.6883	55290.57295
BAN	Bangladesh	ASIA-TROPICAL	3.238	1	72067.90574	30.30279	OWEast	IndoMalay	8710329.06	2953758.353	2224.9278	91.387	34.0618	255.0166167	198.5226	3605.0608	120.984	5894.06	2134.7151	232.9697	96.2046	69653.435
BOR	Borneo	ASIA-TROPICAL	2.041816547	1	53075.06879	38.27726	OWEast	IndoMalay	11018599.57	110314.8227	3011.2395	22.4148	542.6224	255.4750167	251.3173	293.2633	213.1612	10057.7	2398.5601	228.6644	610.3823	53075.06879
CBD	Cambodia	ASIA-TROPICAL	2.779166667	1	63641.05214	40.96129	OWEast	IndoMalay	10123379.77	1608336.662	1778.8338	78.9617	35.7196	267.232125	248.4871	1342.3151	189.1726	8671.31	1449.3136	251.4845	331.3911	61376.664
CHC	China South-Central	ASIA-TEMPERATE	2.150961538	1	40092.29726	38.38249	OWEast	IndoMalay	10092822.29	3479508.38	1065.5115	78.1687	50.0197	127.5837583	43.1043	6180.397	-22.3057	6052.79	1219.0316	92.3827	-153.5525	32475.535
CHH	Hainan	ASIA-TEMPERATE	2.205357143	1	15847.13203	44.26282	OWEast	IndoMalay	10588533.69	2404879.611	1487.6838	71.6061	71.6304	240.193225	190.0993	3469.6367	144.2976	8924.54	1490.1686	220.3407	-5.953	15847.13203
CHS	China Southeast	ASIA-TEMPERATE	1.873809524	1	13715.19748	35.86392	OWEast	IndoMalay	11034741.58	3422094.406	1367.7538	61.5498	123.0695	174.1155583	72.3984	7567.0381	21.2718	5835.85	1322.326	132.6755	45.5195	13715.19748
EHM	East Himalaya	ASIA-TROPICAL	2.320689655	1	50924.11698	44.83478	OWEast	IndoMalay	8962388.071	3409075.729	1755.7704	93.8096	34.7641	128.5977083	60.9972	4875.5405	-19.3451	8721.46	1742.0588	98.9844	13.3514	50924.11698
IND	India	ASIA-TROPICAL	2.569047619	1	59367.98921	36.90941	OWEast	IndoMalay	7563260.31	2678426.611	1014.1923	121.7629	17.3357	259.4600917	199.604	4360.5381	119.3868	3889.88	1027.95	235.4677	-13.0472	59367.98921
JAW	Jawa	ASIA-TROPICAL	2.469111111	1	43675.96018	33.42435	OWEast	IndoMalay	10620685.84	-927252.2543	2510.2398	55.0127	235.952	249.6198417	242.9529	488.5873	187.7777	9836.28	2119.1335	233.391	387.627	43675.96018
LAO	Laos	ASIA-TROPICAL	2.552884615	1	48211.8451	38.09816	OWEast	IndoMalay	10013495.31	2316230.237	1888.7443	93.0613	40.2324	228.2782083	189.6126	2600.627	115.3663	11517.1	1535.9379	208.5966	352.8188	46797.24
MLY	Malaya	ASIA-TROPICAL	2.116101322	1	63464.25011	38.03227	OWEast	IndoMalay	9858902.193	513119.6319	2551.1473	35.0634	408.8245	257.5492917	250.3106	504.3636	205.0675	11393	1756.2777	242.0339	795.3376	63464.25011
MYA	Myanmar	ASIA-TROPICAL	2.63825	1	39330.60777	37.23723	OWEast	IndoMalay	9312068.924	2622915.891	1985.5592	91.4048	28.7145	231.354125	187.0165	2993.9775	106.8633	8403.67	2143.3472	211.2574	-147.2742	39330.60777
NCB	Nicobar Is.	ASIA-TROPICAL	2.352941176	1	23375.941	35.46716	OWEast	IndoMalay	9031318.842	954859.1428	2350.166	39.4886	246.5205	270.1078417	263.3745	506.0182	239.7111	15114.3	2719.2676	256.7957	-356.2184	23375.941
NEP	Nepal	ASIA-TROPICAL	2.220833333	1	59350.49286	43.92072	OWEast	IndoMalay	8100386.091	3462117.649	1376.0649	99.801	45.3857	141.1571083	72.2216	4820.3716	4.7283	6834.05	1302.9529	113.4203	72.9226	59350.49286
NNS	Nansei-shoto	ASIA-TEMPERATE	4.4	1	57904.76667	41.0126	OWEast	IndoMalay	12223458.6	3179538.04	2196.8335	27.4455	386.9017	224.6354667	168.918	4250.2798	134.4688	14938.2	2151.0327	195.478	42.9767	53686.535
PAK	Pakistan	ASIA-TROPICAL	3.883333333	1	30416.64222	48.21357	OWEast	IndoMalay	6631716.504	3573550.431	261.0737	92.0309	17.7751	222.59705	121.1087	7303.4468	33.0785	1747.68	343.4865	191.8666	-82.5276	30416.64222
PHI	Philippines	ASIA-TROPICAL	2.210892857	1	14526.68542	33.89936	OWEast	IndoMalay	11857234.83	1478916.819	2550.3764	50.5481	266.9948	254.192925	243.1996	791.2939	199.2553	10074.6	2785.8911	230.7763	-233.2433	14526.68542
SRL	Sri Lanka	ASIA-TROPICAL	3.46	1	88055.79931	39.07938	OWEast	IndoMalay	7786880.616	967990.7087	1881.0284	65.6317	187.6699	265.0320083	249.2907	1096.8612	210.2002	9678.57	1454.3324	248.6452	423.9421	88055.79931
SUM	Sumatera	ASIA-TROPICAL	2.228571429	1	50507.4654	39.86181	OWEast	IndoMalay	9806885.413	-60845.74603	2632.1801	30.0519	407.5791	254.4515417	250.3901	323.113	203.743	11461.1	1947.2146	237.2052	684.5722	50507.4654
TAI	Taiwan	ASIA-TEMPERATE	1.888888889	1	16532.80746	35.80019	OWEast	IndoMalay	11670787.91	2944999.937	2522.6184	70.3019	181.2284	190.7382417	142.004	3564.1514	98.4219	10077.5	2461.468	143.6191	46.8764	16532.80746
THA	Thailand	ASIA-TROPICAL	2.411377246	1	36928.37902	41.93768	OWEast	IndoMalay	9746459.814	1898813.509	1493.8571	79.5856	48.706	261.1351417	233.5556	1877.5359	159.395	8060.62	1264.5712	245.787	232.0038	36928.37902
VIE	Vietnam	ASIA-TROPICAL	2.052475248	1	63988.98471	38.08953	OWEast	IndoMalay	10259091.52	2075670.855	1793.4388	80.7094	65.2141	234.164925	194.871	2787.3057	145.0526	9666.59	1515.5424	214.6428	278.8588	63988.98471
WHM	West Himalaya	ASIA-TROPICAL	1.875	1	54931.07803	44.8001	OWEast	IndoMalay	7400867.125	4013551.336	691.3101	62.4951	59.925	43.91680833	-61.1464	7820.0918	-122.9369	4940.88	829.1232	7.4462	-138.0062	54931.07803
XMS	Christmas I.	ASIA-TROPICAL	1.9	1	8333.333333	41.61111	OWEast	IndoMalay	10198956.65	-1325217.53	1917.5967	59.5645	108.5484	254.6317167	245.9355	569.3387	223.6129	15260.1	1795.3138	239.7518	57.0323	8333.333333
ALA	Alabama	NORTHERN AMERICA	1.616666667	1	9058.492282	40.8866	NewWorld	Nearctic	-8377890.491	3961523.217	1445.9321	19.6753	274.8662	169.6384417	75.3952	7062.312	2.5529	6658.74	1693.4501	34.7098	-247.5753	9058.492282
ARI	Arizona	NORTHERN AMERICA	1.4	1	13963.79971	46.35209	NewWorld	Nearctic	-10773225.91	4120112.905	320.6145	49.2712	30.4446	150.1526917	56.9123	7527.0928	-24.1694	1769.61	587.5712	66.2018	-266.9699	13963.79971
ARK	Arkansas	NORTHERN AMERICA	0.8	1	9109.450667	37.79106	NewWorld	Nearctic	-8919596.202	4186449.603	1263.4662	18.317	255.9293	156.9042	48.2229	8084.8101	-25.1837	5469.65	1785.1471	-42.5277	-521.7299	9109.450667
CAL	California	NORTHERN AMERICA	1.4	1	13387.77783	48.15946	NewWorld	Nearctic	-11531954.2	4417285.154	543.4177	70.028	20.3647	136.2450667	60.5611	6283.4893	-6.4458	3978.64	989.4715	100.9796	-446.2462	13387.77783
FLA	Florida	NORTHERN AMERICA	1.492307692	1	11770.34347	53.06111	NewWorld	Nearctic	-7956616.186	3504145.439	1348.5449	43.8293	195.3804	213.0033667	147.6327	4840.4814	77.629	9708.75	1165.4214	153.6807	182.758	11770.34347
GEO	Georgia	NORTHERN AMERICA	1.716666667	1	9058.492282	45.30209	NewWorld	Nearctic	-8050969.866	3946500.29	1283.275	21.5144	236.5005	174.3038083	84.5605	6735.4653	12.0006	7503.57	1422.2817	58.3039	-139.3359	9058.492282
LOU	Louisiana	NORTHERN AMERICA	1.425	1	11824.61657	38.32074	NewWorld	Nearctic	-8878048.752	3775439.242	1465.1573	16.6906	295.3871	188.9969	99.859	6629.1133	31.1223	7287.43	2045.8457	39.3994	-583.3873	11824.61657
MSI	Mississippi	NORTHERN AMERICA	1.616666667	1	11712.96057	39.49062	NewWorld	Nearctic	-8652366.622	3957183.894	1453.9646	19.7805	268.0921	173.2280333	77.5122	7171.3193	6.3718	6719.28	1918.5511	17.8518	-464.7911	11712.96057
MXE	Mexico Northeast	NORTHERN AMERICA	1.246363636	1	12108.88984	42.75272	NewWorld	Nearctic	-9939943.507	3178776.224	525.4375	82.947	33.1946	183.8665583	120.7364	4627.6963	32.923	4651.35	714.85	142.9822	-188.612	12108.88984
MXN	Mexico Northwest	NORTHERN AMERICA	1.686363636	1	2331.406253	47.99826	NewWorld	Nearctic	-10742947.05	3480488.746	361.929	89.9585	13.0726	208.7869583	146.3584	4983.5469	62.2073	3016.2	588.994	169.7707	-230.2351	2331.406253
NCA	North Carolina	NORTHERN AMERICA	0.95	1	8325.648578	43.85613	NewWorld	Nearctic	-7659056.213	4255492.528	1260.7374	16.4008	261.5486	147.6240083	49.9967	7353.8193	-20.0856	7427.27	1439.8611	13.1543	-179.5788	8325.648578
OKL	Oklahoma	NORTHERN AMERICA	0.8	1	2940.208347	35.13372	NewWorld	Nearctic	-9407670.437	4258194.504	864.9717	39.4833	117.4576	153.7473917	38.2709	8718.5215	-42.8294	4332.15	1297.666	-28.9468	-432.6675	2940.208347
SCA	South Carolina	NORTHERN AMERICA	1.4875	1	9058.492282	46.45948	NewWorld	Nearctic	-7805498.635	4083381.937	1237.7616	20.6686	241.4407	168.3278833	75.0599	7042.4395	3.3704	7364.7	1421.2173	44.7729	-183.7025	9058.492282
TEX	Texas	NORTHERN AMERICA	1.125	1	4801.048396	38.94675	NewWorld	Nearctic	-9585288.112	3815298.381	693.1776	43.0013	107.873	181.0180917	83.4563	7277.3159	1.1057	4364.93	1020.2613	49.2816	-326.6727	4801.048396
AGE	Argentina Northeast	SOUTHERN AMERICA	2.072222222	1	86687.40909	48.4924	NewWorld	Neotropics	-5905610.404	-3910806.241	865.2147	41.4994	104.3043	176.511525	115.368	4783.3511	49.7695	6092.93	879.1235	143.4748	-13.9477	86687.40909
AGW	Argentina Northwest	SOUTHERN AMERICA	1.05	1	67923.88571	58.72051	NewWorld	Neotropics	-6398651.514	-3538812.276	395.1399	75.698	20.9192	146.2130083	84.3727	4648.105	2.4077	3659.31	409.4673	110.8526	-14.3111	67923.88571
BAH	Bahamas	SOUTHERN AMERICA	1.427777778	1	6761.183333	42.65654	NewWorld	Neotropics	-7379381.122	2991044.931	1043.1108	54.7133	113.3606	251.600275	220.4866	2331.9294	181.7657	12389.4	798.149	227.6978	242.0049	6761.183333
BLZ	Belize	SOUTHERN AMERICA	1.83025641	1	16131.71	36.21793	NewWorld	Neotropics	-8556716.839	2164161.333	2049.5714	53.4743	173.8355	248.1384	225.9991	1571.2899	179.3671	10956.5	2314.2791	226.9743	-272.287	16131.71
BOL	Bolivia	SOUTHERN AMERICA	2.955822785	1	88171.10526	49.09533	NewWorld	Neotropics	-6240407.203	-2094955.191	1149.4767	75.7812	80.6597	204.1818083	174.8749	1976.5109	94.7303	5573.74	1143.625	173.3208	5.9013	88171.10526
BZC	Brazil West-Central	SOUTHERN AMERICA	3.563962264	1	96566.65283	49.18261	NewWorld	Neotropics	-5239575.512	-1917581.624	1654.7301	70.003	55.0556	244.6670333	225.7932	1251.6794	146.1126	5186.43	1451.2136	215.5218	203.539	96566.65283
BZE	Brazil Northeast	SOUTHERN AMERICA	3.8195	1	101233.3956	53.22214	NewWorld	Neotropics	-4026549.239	-1090987.589	1008.9169	79.1129	43.0435	248.3979917	234.2543	1025.63	174.4393	5329.13	957.2754	215.9462	53.0408	101233.3956
