Area_code_L3	BodySize	FruitSize	LEVEL_NAME	REGION_NAM	CONTINENT	THREEREALM	REALM_LONG	NEOPALEO	AREA_KM2	LAT	LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	NPP_median	ensLGM_Pmean	ensLGM_Tmean	Soil
MOL	11384.35	2.369186047	Maluku	Malesia	ASIA-TROPICAL	OWEast	Australasia	Old World	59736.03465	-1.420611904	127.990452	12349296.25	-180975.4479	2230.0856	29.8792	360.6084	250.3061083	243.1146	527.8225	211.2492	13565.6	13727	1783.8713	231.965	39.11414
MOR	1266963.423	2.23	Morocco	Northern Africa	AFRICA	OWWest	Palearctic	Old World	403296.5381	31.88412866	-6.317518311	-613201.1962	3858859.387	318.586	62.7192	13.7932	170.7353167	97.1225	5901.8403	26.9642	2587.74	2302	708.7327	154.6282	41.05262
MOZ	484859.3667	6.58125	Mozambique	South Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	786425.3638	-17.26019707	35.55225318	3433578.679	-2153416.234	989.9086	95.8197	30.4026	239.403875	205.0442	2340.2329	135.1966	7058.38	6862	1160.7853	199.2528	60.01182
MRN	150	1.125	Marianas	Northwestern Pacific	PACIFIC	OWEast	Oceania	Old World	1192.643776	14.90077071	145.1965445	14009200.9	1876756.524	2210.2215	50.3105	271.4934	264.7355	255.7224	569.8353	227.5807	14755.2	17598	4702.5806	252.1339	43.06078
MSI	902663.9381	1.616666667	Mississippi	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	124059.7443	32.75582597	-89.67327133	-8652366.622	3957183.894	1453.9646	19.7805	268.0921	173.2280333	77.5122	7171.3193	6.3718	6719.28	6151	1918.5511	17.8518	39.49062
MTN	1907858.317	7	Mauritania	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	1038464.871	20.25990361	-10.33226041	-998007.82	2522330.882	91.0809	117.4535	0.6802	276.496425	207.5196	5027.0581	124.2525	9.40624	0	126.2056	248.6997	63.37307
MXC	1325724.279	1.1125	Mexico Central	Mexico	NORTHERN AMERICA	NewWorld	Neotropics	New World	66275.27348	19.13109566	-98.58581279	-9512151.602	2396274.638	980.9923	88.888	41.7135	173.2674917	147.1516	1862.5056	57.4543	8862.54	8832	1105.3156	144.9452	38.82846
MXE	870697.9735	1.232727273	Mexico Northeast	Mexico	NORTHERN AMERICA	NewWorld	Nearctic	New World	871044.1481	25.85227543	-103.0607542	-9939943.507	3178776.224	525.4375	82.947	33.1946	183.8665583	120.7364	4627.6963	32.923	4651.35	3877	714.85	142.9822	42.75272
MXG	1164588.341	1.540555556	Mexico Gulf	Mexico	NORTHERN AMERICA	NewWorld	Neotropics	New World	71169.32287	19.37738436	-96.405429	-9300733.316	2423947.208	1716.069	72.5808	124.5163	238.8157667	202.6628	2532.7463	147.106	10691.5	9982	1869.9927	209.7025	34.68918
MXN	855261.2176	1.577272727	Mexico Northwest	Mexico	NORTHERN AMERICA	NewWorld	Nearctic	New World	382803.3575	28.4912303	-111.3789827	-10742947.05	3480488.746	361.929	89.9585	13.0726	208.7869583	146.3584	4983.5469	62.2073	3016.2	2409	588.994	169.7707	47.99826
MXS	937057.4179	1.714680851	Mexico Southwest	Mexico	NORTHERN AMERICA	NewWorld	Neotropics	New World	329131.7062	18.84795312	-100.7023886	-9713666.775	2359019.498	1156.298	103.3758	28.7025	216.5457	191.8965	1778.2451	107.977	9164.69	8556	1223.6971	192.8345	41.22264
MXT	1613116.71	1.514051724	Mexico Southeast	Mexico	NORTHERN AMERICA	NewWorld	Neotropics	New World	236551.8333	18.50798756	-90.55872649	-8739084.772	2318392.843	1531.0793	66.2779	112.9689	250.2499333	224.1109	1813.9644	160.1569	10730.2	10854	1830.5253	225.574	35.93258
MYA	698447.3387	2.58375	Myanmar	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	668127.9372	21.14042303	96.50882808	9312068.924	2622915.891	1985.5592	91.4048	28.7145	231.354125	187.0165	2993.9775	106.8633	8403.67	8416	2143.3472	211.2574	37.23723
NAM	570476.5375	4.2	Namibia	Southern Africa	AFRICA	OWWest	Afrotropics	Old World	804650.3954	-22.23554548	17.07189285	1646091.551	-2754871.901	275.4239	100.9501	2.3247	198.055175	147.4125	3572.4551	55.8004	2748.57	2432	228.7553	173.3291	67.03737
NCA	868368.1545	0.95	North Carolina	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	128191.2251	35.54958921	-79.38015679	-7659056.213	4255492.528	1260.7374	16.4008	261.5486	147.6240083	49.9967	7353.8193	-20.0856	7427.27	7060	1439.8611	13.1543	43.85613
NCB	375	2.347058824	Nicobar Is.	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	1865.705461	7.507217236	93.60165739	9031318.842	954859.1428	2350.166	39.4886	246.5205	270.1078417	263.3745	506.0182	239.7111	15114.3	16921	2719.2676	256.7957	35.46716
NEP	664130.6692	2.175	Nepal	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	147199.1291	28.25300785	83.93851707	8100386.091	3462117.649	1376.0649	99.801	45.3857	141.1571083	72.2216	4820.3716	4.7283	6834.05	7119	1302.9529	113.4203	43.92072
NGA	884328.8786	4.771666667	Nigeria	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	908616.7758	9.593635674	8.105324864	781598.6985	1215518.961	1173.0243	100.835	19.5762	264.0748333	242.0831	1878.1165	163.5546	4326.57	4651	1527.8236	238.5762	53.91654
NGR	1991104.917	7.416666667	Niger	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	1182009.578	17.42632282	9.397657535	904156.1452	2182541.092	133.8012	144.301	0.0271	270.9845583	203.5357	4703.5664	111.7409	289.818	187	158.5296	249.2258	70.63203
NIC	1792348.233	1.833030303	Nicaragua	Central America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	128123.6682	12.83970931	-85.03469962	-8204747.816	1623980.418	2290.6145	66.468	131.0653	250.6029667	238.4051	864.3899	189.0832	9705.2	9415	2046.6044	229.4682	31.76956
NNS	36595.05714	4.4	Nansei-shoto	Eastern Asia	ASIA-TEMPERATE	OWEast	IndoMalay	Old World	2107.955172	25.77340565	126.6998898	12223458.6	3179538.04	2196.8335	27.4455	386.9017	224.6354667	168.918	4250.2798	134.4688	14938.2	16638	2151.0327	195.478	41.0126
NSW	193884.169	1.95	New South Wales	Australia	AUSTRALASIA	OWEast	Australasia	Old World	804763.8019	-32.18030973	147.0187766	14185658.53	-3890210.766	574.2669	24.3348	105.1716	171.215975	100.3648	5405.5298	32.9251	4835.86	3217	623.8718	140.0583	56.21278
NTA	419.5	2.242857143	Northern Territory	Australia	AUSTRALASIA	OWEast	Australasia	Old World	1348765.939	-19.41428342	133.3652138	12867552.73	-2414297.181	553.5365	86.0508	16.7772	248.0838417	182.9047	4617.4204	95.0976	1824.48	1177	545.4139	214.9345	62.38719
NWG	12037.67308	1.776964286	New Guinea	Papuasia	ASIA-TROPICAL	OWEast	Australasia	Old World	816428.3459	-5.345954432	140.8323421	13587216.28	-679375.3791	3045.2995	25.4392	552.9183	240.158625	231.3531	584.7695	189.8732	10201.8	9983	2736.7778	215.0406	37.98023
NZN	16.4	1.3	New Zealand North	New Zealand	AUSTRALASIA	OWEast	Oceania	Old World	114621.5622	-38.57754677	175.7272133	16954527.69	-4561183.816	1617.7979	18.1893	322.5815	126.1758083	82.4355	3378.5037	36.6749	14131.8	14923	1137.9276	100.2743	50.67356
NZS	16.4	1.3	New Zealand South	New Zealand	AUSTRALASIA	OWEast	Oceania	Old World	152913.8403	-44.02210795	170.4795984	16452989.35	-5084847.047	1694.6089	13.8016	361.0711	85.04896667	33.8379	3786.7017	-11.4289	8557.06	8581	1547.7229	57.5181	56.83148
OKL	849249.3879	0.8	Oklahoma	North-Central U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	181138.6788	35.58437196	-97.50981445	-9407670.437	4258194.504	864.9717	39.4833	117.4576	153.7473917	38.2709	8718.5215	-42.8294	4332.15	4057	1297.666	-28.9468	35.13372
OMA	800354.0333	7	Oman	Arabian Peninsula	ASIA-TEMPERATE	OWEast	Palearctic	Old World	308799.4751	20.60235703	56.11008942	5412476.436	2568597.697	59.21	95.5488	3.1237	263.0847167	205.0451	4134.2793	143.7023	1504.65	1382	62.2427	227.4718	44.57102
PAK	799515.6444	3.883333333	Pakistan	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	795103.9626	29.35662305	68.78919169	6631716.504	3573550.431	261.0737	92.0309	17.7751	222.59705	121.1087	7303.4468	33.0785	1747.68	1320	343.4865	191.8666	48.21357
PAL	490268.2556	6	Palestine	Western Asia	ASIA-TEMPERATE	OWEast	Palearctic	Old World	116178.0608	31.30791875	36.37623408	3509351.126	3801129.431	152.081	88.5716	0.0003	186.5592833	99.3474	6445.5527	35.1625	2161.14	1335	217.9557	160.3291	40.40488
PAN	820896.3	1.809685039	Panama	Central America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	74532.25349	8.50544318	-80.10906884	-7729407.475	1081046.082	2567.1892	59.8931	135.1076	250.3802333	243.7748	546.9352	198.6868	9169.24	8849	2739.9966	235.2307	32.309
PAR	882932.2741	2.611428571	Paraguay	Southern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	398816.4118	-23.23612887	-58.39095178	-5635963.682	-2880147.332	1080.7606	43.3175	133.4229	234.0157583	189.1576	3313.2583	122.1156	4117.62	3660	923.8073	204.6704	50.52703
PER	807271.5073	3.236296296	Peru	Western South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	1290869.148	-9.163771326	-74.37540668	-7178030.232	-1153965.985	1562.1031	56.7586	216.94	191.8574333	178.8897	900.2469	107.5996	8366.86	8341	1403.7069	170.3772	48.2494
PHI	181499.6923	2.163964286	Philippines	Malesia	ASIA-TROPICAL	OWEast	IndoMalay	Old World	294712.2939	11.74740203	122.8736074	11857234.83	1478916.819	2550.3764	50.5481	266.9948	254.192925	243.1996	791.2939	199.2553	10074.6	9761	2785.8911	230.7763	33.89936
POR	1258537.864	2.23	Portugal	Southwestern Europe	EUROPE	OWWest	Palearctic	Old World	88595.83486	39.69200391	-7.962368958	-768603.4159	4672744.836	845.7685	56.2646	52.2389	149.4323417	89.7743	4864.3091	49.9544	6084.66	5706	1275.3416	125.5968	48.00263
PUE	7984.7	1.606363636	Puerto Rico	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	9246.503523	18.22093074	-66.46612748	-6413068.737	2286496.023	1816.9513	38.4915	230.5977	242.1755167	225.2606	1214.7717	170.4735	12324.1	12800	1277.2843	219.3615	39.27142
QLD	192853.175	1.988636364	Queensland	Australia	AUSTRALASIA	OWEast	Australasia	Old World	1728799.661	-22.57373668	144.5481795	13942878.19	-2787804.733	631.2155	73.5945	44.1535	228.5472167	163.6285	4652.4341	83.1586	3308.45	2255	679.7714	193.248	54.23993
REU	293.15	1.866666667	Réunion	Western Indian Ocean	AFRICA	OWWest	Afrotropics	Old World	2645.021401	-21.12162946	55.53821274	5358671.39	-2635446.697	1556.0596	51.5992	173.1408	188.5728833	161.7018	2120.2588	131.1017	16216.3	18588	2068.7881	176.1136	44.41148
ROD	253.8	2.416666667	Rodrigues	Western Indian Ocean	AFRICA	OWWest	Afrotropics	Old World	116.4863998	-19.71779025	63.41351669	6118534.618	-2467357.527	1086.7084	45.3542	134.2361	237.998275	214.2569	1785.7361	182.4236	14143.5	14224	1441.8671	224.8038	48.01538
RWA	412056.3636	6.0375	Rwanda	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	25143.37253	-1.997967978	29.91720553	2886604.389	-254820.1425	1148.2219	50.9904	72.0586	189.8135	186.8387	294.927	126.401	10129.8	9793	744.3334	171.8828	47.98571
SAM	408.95	4.085714286	Samoa	Southwestern Pacific	PACIFIC	OWEast	Oceania	Old World	3172.221743	-13.79663559	-172.031904	-16598763.33	-1743529.645	3835.3866	41.7211	488.4552	245.9939333	239.4436	427.8491	215.1258	15637	17338	5270.0352	234.2381	32.89418
SAR	1018555.106	2.23	Sardegna	Southwestern Europe	EUROPE	OWWest	Palearctic	Old World	8782.855718	42.15818981	9.105312296	878516.2782	4915534.51	730.5892	42.8001	73.9267	126.6793417	66.8716	5123.6445	36.0981	9624.56	9051	780.1116	95.9107	50.87973
SAU	1372640.22	4.05	Saudi Arabia	Arabian Peninsula	ASIA-TEMPERATE	OWEast	Palearctic	Old World	1954760.886	24.0233803	44.58510578	4308007.396	2959712.924	94.0113	97.6426	1.7315	245.612025	158.2465	6460.2993	85.9102	605.52	507	132.7061	215.0607	46.90629
SCA	868368.1545	1.4875	South Carolina	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	80530.12029	33.91755375	-80.90042082	-7805498.635	4083381.937	1237.7616	20.6686	241.4407	168.3278833	75.0599	7042.4395	3.3704	7364.7	7049	1421.2173	44.7729	46.45948
SCZ	267.1	4.94	Santa Cruz Is.	Southwestern Pacific	PACIFIC	OWEast	Oceania	Old World	851.825059	-10.99211357	166.2240525	16038299.15	-1393841.087	4779.4719	11.5065	1054.9381	260.5601833	253.4086	456.0978	225.4	14176.6	16840	5936.9028	248.6864	36.23037
SEN	914854.9167	6.69	Senegal	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	196061.3783	14.36697954	-14.46817708	-1395786.365	1813184.952	668.2736	136.5029	0.4099	276.3872583	246.9189	2218.1555	152.1108	1064.85	827	896.2498	248.9842	59.6565
SIC	1246800.05	2.23	Sicilia	Southeastern Europe	EUROPE	OWWest	Palearctic	Old World	26048.28657	37.56597162	14.14648274	1365035.034	4463429.834	518.7434	60.016	28.5502	156.580175	92.8559	5470.8306	58.4158	6286	6253	515.5149	127.8169	37.66211
SIE	708551.5333	4.6	Sierra Leone	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	72497.69369	8.560340924	-11.7921029	-1137772.452	1087865.645	2728.074	81.4272	54.9249	260.5988667	248.2048	1069.2091	185.4028	6824.24	6750	6014.7173	235.6559	41.26606
SIN	921012.6385	6.5	Sinai	Western Asia	ASIA-TEMPERATE	OWWest	Palearctic	Old World	56690.47245	29.70447218	33.76803901	3258259.469	3624807.819	46.2592	80.8472	0.0103	188.61075	117.5672	5279.3828	59.1123	1259.86	1259	78.6389	163.8009	47.67743
SOL	509.5875	2.580921053	Solomon Is.	Papuasia	ASIA-TROPICAL	OWEast	Oceania	Old World	36875.73562	-8.147972776	158.3400507	15276858.78	-1034940.432	3278.6606	23.5255	653.1301	252.9757833	246.3578	431.8232	212.1676	14044.6	15704	3527.4871	236.6826	31.51783
SOM	1162732.46	4.171428571	Somalia	Northeast Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	636284.7205	6.063713497	45.86255927	4424060.471	768056.7507	269.1221	104.8832	8.3495	263.8726833	242.6047	1621.1226	177.8038	2114.53	1625	249.8359	232.7738	45.23281
SPA	1343964.348	2.23	Spain	Southwestern Europe	EUROPE	OWWest	Palearctic	Old World	494020.6228	40.39417332	-3.551694381	-343136.3533	4737686.214	614.3222	37.0192	80.0428	130.1395083	59.0264	5867.5928	12.6393	5102.4	4349	942.689	104.7586	42.26112
SRL	533944.6167	3.43	Sri Lanka	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	66288.62175	7.612362427	80.70426262	7786880.616	967990.7087	1881.0284	65.6317	187.6699	265.0320083	249.2907	1096.8612	210.2002	9678.57	9176	1454.3324	248.6452	39.07938
SUD	907527.1667	5.916666667	Sudan	Northeast Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	2486953.11	13.83173564	30.05016106	2898550.311	1729994.191	413.8888	126.7227	3.8345	267.837475	225.2011	3082.0916	136.6167	3140.65	3028	345.0141	232.8687	51.26979
SUL	176882.9	2.428387097	Sulawesi	Malesia	ASIA-TROPICAL	OWEast	Australasia	Old World	186000.6602	-2.104047614	121.2948397	11703308.66	-267924.9821	2136.3988	31.834	318.8135	240.1116333	233.5668	457.848	191.1817	11559.4	11608	1760.6176	217.3171	37.08924
SUM	396963.5871	2.183726708	Sumatera	Malesia	ASIA-TROPICAL	OWEast	IndoMalay	Old World	470941.9491	-0.47758812	101.6400768	9806885.413	-60845.74603	2632.1801	30.0519	407.5791	254.4515417	250.3901	323.113	203.743	11461.1	11095	1947.2146	237.2052	39.86181
SUR	650764.37	2.964210526	Surinam	Northern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	145018.241	4.12671321	-55.91158124	-5394704.305	525772.3207	2250.3608	49.1542	220.8378	263.0556417	255.6507	653.6817	214.3038	9411.54	9309	2150.521	230.7843	42.12048
SWC	1792348.233	1.1	Southwest Caribbean	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	356.8359788	15.43532421	-85.13841012	-8213537.172	1944177.006	2299.104	66.144	198.728	263.9573333	245.196	1241.324	206.612	12972.6	13665	2272.1057	244.9056	43.25912
SWZ	527619.3	1.9	Swaziland	Southern Africa	AFRICA	OWWest	Afrotropics	Old World	17121.88687	-26.56211674	31.4971888	3039043.563	-3271232.412	858.1371	66.6082	44.9272	197.34155	155.8621	2897.8848	77.6046	8833.67	8625	863.8727	167.7203	50.91499
TAI	52037.875	3.061111111	Taiwan	Eastern Asia	ASIA-TEMPERATE	OWEast	IndoMalay	Old World	36163.95709	23.74831791	120.9593907	11670787.91	2944999.937	2522.6184	70.3019	181.2284	190.7382417	142.004	3564.1514	98.4219	10077.5	9973	2461.468	143.6191	35.80019
TAN	354357.7	5.472222222	Tanzania	East Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	941390.0797	-6.270199047	34.82340201	3359448.44	-795816.9062	979.3262	87.5919	21.8191	224.884475	206.6386	1270.0284	142.6593	7719.99	7650	847.6539	195.1237	50.94292
TEX	854392.3171	1.125	Texas	South-Central U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	684964.5072	31.49694154	-99.35743679	-9585288.112	3815298.381	693.1776	43.0013	107.873	181.0180917	83.4563	7277.3159	1.1057	4364.93	4097	1020.2613	49.2816	38.94675
THA	318744.4	2.391616766	Thailand	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	512815.7864	15.11989876	101.0149078	9746459.814	1898813.509	1493.8571	79.5856	48.706	261.1351417	233.5556	1877.5359	159.395	8060.62	7328	1264.5712	245.787	41.93768
TOG	781525.5167	6.488888889	Togo	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	57127.44116	8.534910374	0.975845964	94229.06211	1084038.277	1190.3748	75.6446	35.5609	267.5333	249.2098	1391.4534	193.4132	5802.22	6414	1645.9443	241.6546	53.9523
TRT	494107.2778	2.9	Trinidad-Tobago	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	5029.530689	10.46836429	-61.25263722	-5910052.604	1328207.974	2074.7099	44.3713	213.1716	257.3692833	247.6127	634.2635	201.5574	13243.9	12475	2219.2986	231.2407	37.02511
TUN	1111643.4	2.23	Tunisia	Northern Africa	AFRICA	OWWest	Palearctic	Old World	155383.9812	34.11124917	9.561561422	922720.0944	4099684.726	224.5003	54.022	14.9003	191.1198583	104.6075	6748.1187	44.8581	2665.3	2224	289.3032	180.4649	42.09021
TUR	1147757.016	1.5	Turkey	Western Asia	ASIA-TEMPERATE	OWEast	Palearctic	Old World	756499.2442	38.989446	35.43172673	3418125.125	4603198.238	591.9836	51.9941	45.2973	106.9453083	7.374	7669.9731	-44.5934	3505.09	2753	500.0822	61.472	37.41589
UGA	450925.2143	4.983333333	Uganda	East Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	242065.8827	1.280084629	32.38622999	3124806.59	163146.078	1195.655	46.7071	124.1569	224.6812583	215.1988	741.3419	155.8098	9114.88	8468	755.0414	206.966	45.74518
URU	1030114.959	2.607142857		Southern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	177842.6231	-32.79956992	-56.01217362	-5404738.005	-3962381.11	1220.0032	13.1736	259.8215	175.1952833	120.6576	4391.5259	66.1628	7077.88	6331	1004.2684	150.4451	44.30804
VAN	205.7	3.572222222	Vanuatu	Southwestern Pacific	PACIFIC	OWEast	Oceania	Old World	12697.73779	-16.20215409	167.7055728	16180739.12	-2038093.672	2632.3738	35.4459	400.4848	236.8452583	221.6763	1129.0815	189.511	16303.5	17270	3128.6968	219.9866	36.72329
VEN	557509.927	2.532912621	Venezuela	Northern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	910221.6044	7.118821943	-66.16904042	-6383890.548	903589.8219	1942.052	60.2252	152.4303	255.90845	248.559	561.9072	194.7048	9815.26	10197	1348.24	236.417	44.87365
VIC	234264.6625	4	Victoria	Australia	AUSTRALASIA	OWEast	Australasia	Old World	227725.7618	-36.85746645	144.3078569	13922646	-4389264.996	703.0347	24.0128	119.2821	137.8820583	82.4269	4348.9756	31.2298	7866.83	6078	740.483	111.5833	51.65213
VIE	481721.528	2.019009901	Vietnam	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	325522.9422	16.65160342	106.3040353	10259091.52	2075670.855	1793.4388	80.7094	65.2141	234.164925	194.871	2787.3057	145.0526	9666.59	9372	1515.5424	214.6428	38.08953
WAU	200227.1818	1.8	Western Australia	Australia	AUSTRALASIA	OWEast	Australasia	Old World	2527723.288	-25.46606876	122.1782045	11793293.08	-3112090.165	334.419	64.033	24.0764	223.157625	153.5896	5156.1953	78.1346	1969.97	1364	321.2388	194.7824	66.49033
WHM	784313.275	1.808333333	West Himalaya	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	293726.1471	33.32159715	76.67319106	7400867.125	4013551.336	691.3101	62.4951	59.925	43.91680833	-61.1464	7820.0918	-122.9369	4940.88	5665	829.1232	7.4462	44.8001
WIN	62.15	2.234	Windward Is.	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	3804.063603	14.09525608	-60.99587035	-5885218.245	1779735.374	2208.9374	38.6282	287.5216	247.7458417	234.6365	898.6023	194.7355	17745.8	20062	1875.8999	223.8924	33.23
XMS	283.3333333	1.5	Christmas I.	Malesia	ASIA-TROPICAL	OWEast	IndoMalay	Old World	123.9830783	-10.44411526	105.7036983	10198956.65	-1325217.53	1917.5967	59.5645	108.5484	254.6317167	245.9355	569.3387	223.6129	15260.1	18201	1795.3138	239.7518	41.61111
YEM	2265275.9	3.24	Yemen	Arabian Peninsula	ASIA-TEMPERATE	OWEast	Palearctic	Old World	419969.0598	15.83691546	47.56879416	4588700.443	1993687.468	116.7778	82.0721	6.3329	228.7627583	184.8407	3313.3989	116.6872	1755.59	1642	188.2471	195.7934	46.42159
ZAI	380467.7471	4.918055556	Zaïre	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	2326810.805	-2.876225764	23.65445822	2281986.481	-363434.0893	1595.195	51.0977	139.0588	239.2782833	230.0166	672.531	166.3274	10232.7	10700	1152.0592	215.7222	50.54233
ZAM	402421.55	5.266666667	Zambia	South Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	751901.9078	-13.45307543	27.79788004	2683695.261	-1696990.169	1018.87	109.5142	0.8057	212.2213167	174.6669	2544.7458	80.9248	7870.38	7881	964.0432	184.0633	55.52504
ZIM	527619.3	6.975	Zimbabwe	South Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	389856.2762	-19.00000577	29.87175983	2882186.901	-2378106.824	673.6836	104.4438	7.4277	204.722925	158.9119	3130.4409	68.4786	6320.49	6303	716.7998	167.029	56.17904
