Area_code_L3	BodySize	FruitSize	LEVEL_NAME	REGION_NAM	CONTINENT	THREEREALM	REALM_LONG	NEOPALEO	AREA_KM2	LAT	LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	NPP_median	ensLGM_Pmean	ensLGM_Tmean	Soil
BZC	965665.6528	3.543207547	Brazil West-Central	Brazil	SOUTHERN AMERICA	NewWorld	Neotropics	New World	1608041.743	-15.29798685	-54.29443591	-5239575.512	-1917581.624	1654.7301	70.003	55.0556	244.6670333	225.7932	1251.6794	146.1126	5186.43	4805	1451.2136	215.5218	49.18261
BZE	1012332.396	3.76825	Brazil Northeast	Brazil	SOUTHERN AMERICA	NewWorld	Neotropics	New World	1544347.476	-8.635173197	-41.72952595	-4026549.239	-1090987.589	1008.9169	79.1129	43.0435	248.3979917	234.2543	1025.63	174.4393	5329.13	4626	957.2754	215.9462	53.22214
BZL	989062.6587	3.789848485	Brazil Southeast	Brazil	SOUTHERN AMERICA	NewWorld	Neotropics	New World	924177.7258	-19.72534419	-45.48097446	-4386520.132	-2461682.954	1284.4091	73.2432	66.4751	215.31255	187.8247	1897.6797	115.0789	7104.79	6844	1314.9072	179.4572	49.85788
BZN	764789.0578	3.181464968	Brazil North	Brazil	SOUTHERN AMERICA	NewWorld	Neotropics	New World	3832654.093	-4.63062382	-59.25073898	-5716995.352	-585822.5237	2246.9109	53.5159	207.3689	259.9939667	253.9615	462.2857	195.8074	8662.3	9168	1440.0931	239.7261	45.80859
BZS	906003.183	2.587142857	Brazil South	Brazil	SOUTHERN AMERICA	NewWorld	Neotropics	New World	564660.1188	-27.56813717	-52.26178711	-5040983.085	-3376062.25	1577.7593	18.3587	323.6105	185.006575	143.5895	3200.6411	84.183	9760.28	9170	1323.6235	157.2038	44.63923
CAB	1025883.225	4.664285714	Cabinda	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	6981.700877	-5.041229577	12.46228731	1202446.623	-642282.6399	1075.2412	81.0192	2.0132	247.1266833	218.7115	1836.748	174.9837	9717.6	10491	920.9532	225.0621	56.79393
CAF	801679.9167	4.75	Central African Republic	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	618575.288	6.571453422	20.48278081	1975999.955	835549.46	1367.7963	76.4573	37.0247	248.9581833	236.5965	1114.2441	148.0143	6444.24	6276	1131.9376	226.2045	56.04268
CAL	779553.5833	0.6	California	Southwestern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	407748.2326	37.23999046	-119.5874549	-11531954.2	4417285.154	543.4177	70.028	20.3647	136.2450667	60.5611	6283.4893	-6.4458	3978.64	3903	989.4715	100.9796	48.15946
CBD	452418.2067	2.748611111	Cambodia	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	182007.9944	12.71402994	104.9212396	10123379.77	1608336.662	1778.8338	78.9617	35.7196	267.232125	248.4871	1342.3151	189.1726	8671.31	8093	1449.3136	251.4845	40.96129
CHA	1712732.786	7.0625	Chad	Northeast Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	1271861.399	15.3611457	18.66460339	1800414.64	1924041.121	315.2694	141.4725	0.1647	269.2257917	219.4226	3651.8545	126.3779	1252.7	1010	383.9903	243.3946	57.27222
CHC	867770.6897	2.123076923	China South-Central	China	ASIA-TEMPERATE	OWEast	IndoMalay	Old World	1307944.882	28.51736916	104.6408898	10092822.29	3479508.38	1065.5115	78.1687	50.0197	127.5837583	43.1043	6180.397	-22.3057	6052.79	5565	1219.0316	92.3827	38.38249
CHH	765075.11	2.1875	Hainan	China	ASIA-TEMPERATE	OWEast	IndoMalay	Old World	34026.08315	19.20103623	109.7420098	10588533.69	2404879.611	1487.6838	71.6061	71.6304	240.193225	190.0993	3469.6367	144.2976	8924.54	8530	1490.1686	220.3407	44.26282
CHS	869470.2556	1.858333333	China Southeast	China	ASIA-TEMPERATE	OWEast	IndoMalay	Old World	1425193.057	28.08959356	114.4271369	11034741.58	3422094.406	1367.7538	61.5498	123.0695	174.1155583	72.3984	7567.0381	21.2718	5835.85	5509	1322.326	132.6755	35.86392
CHT	903445.8789	2.02	Tibet	China	ASIA-TEMPERATE	OWEast	Palearctic	Old World	1133790.843	31.712301	88.11841654	8506565.984	3839654.186	293.6396	107.0332	10.6006	-24.485825	-118.5102	7309.8481	-205.9183	946.724	610	249.9431	-55.4168	54.53968
CLC	1663515.244	3.75	Chile Central	Southern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	186455.8024	-34.96795192	-71.50361245	-6897254.203	-4180033.121	865.2652	87.3538	51.9696	106.1971417	60.1473	3666.8171	9.4522	8417.42	7722	1185.7874	78.7298	55.7031
CLM	421437.9585	2.781838565	Colombia	Western South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	1135623.188	3.899947514	-73.07536081	-7050573.344	494583.3777	2670.6188	42.2414	322.6031	245.7757167	237.8664	565.5339	190.8496	9887.1	10201	2165.3972	224.4493	42.54506
CMN	934277.1615	4.068055556	Cameroon	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	464800.5659	5.68580436	12.7432535	1229275.222	722010.4055	1642.0809	73.4021	70.4897	242.7996	230.7501	1047.8479	170.8883	8666.36	8169	1763.2546	214.914	48.27737
CNY	2088282.86	1.75	Canary Is.	Macaronesia	AFRICA	OWEast	Palearctic	Old World	7521.18765	28.33813028	-15.67748558	-1512852.293	3472869.897	290.1087	86.3717	3.6446	174.5324833	141.9042	2817.6021	107.1896	8826.33	7501	458.6339	160.6015	43.40122
CON	802922.1667	4.025	Congo	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	344043.6954	-0.840066027	15.22427459	1469000.894	-106924.5384	1654.9675	51.5673	121.9804	244.9833667	233.3181	822.4451	181.9618	11197.5	12432	1319.0582	218.9244	52.9394
COS	1613203.66	1.598672566	Costa Rica	Central America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	51064.68599	9.97052135	-84.18903867	-8122983.517	1265495.025	2969.3934	57.8959	234.1171	234.6302083	226.0635	694.6725	174.54	9434.22	9506	2432.0737	216.0831	32.87201
CPP	527619.3	4.133333333	Cape Provinces	Southern Africa	AFRICA	OWWest	Afrotropics	Old World	661494.0307	-30.90217435	22.5340323	2173178.984	-3751547.193	352.0818	52.2747	37.588	168.20745	107.2773	4536.7422	24.1386	3084.42	2213	300.5871	141.2475	58.78635
CPV	570476.5375	4.2	Caprivi Strip	Southern Africa	AFRICA	OWWest	Afrotropics	Old World	20092.89266	-17.92036942	23.25680777	2244035.468	-2249977.403	598.7307	109.5888	0.6899	218.380925	165.7727	3547.1099	57.4418	5845.79	5924	615.5049	185.3916	77.48788
CRL	440	4.0575	Caroline Is.	Northwestern Pacific	PACIFIC	OWEast	Oceania	Old World	1281.522908	7.212482218	146.7096536	14156918.38	917332.803	4255.0856	20.0081	777.9863	269.7627	267.2772	183.6446	231.1329	14220.2	17554	4322.2412	255.8	28.26458
CUB	27380.36667	2.09	Cuba	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	109976.4105	21.62013286	-79.0352374	-7624461.358	2693739.889	1331.4251	59.5545	109.3175	250.2716833	223.487	1886.2981	167.0317	9574.96	8588	1063.1346	227.2442	32.68584
