LEVEL_3_CO,ID,LEVEL_NAME,REGION_NAM,CONTINENT,THREEREALM,REALM_LONG,NEOPALEO,AREA_M2,AREA_KM2,PERIMETER,LAT,LONG,X_COORD,Y_COORD,ISISLAND,PALMSR,PalmPresAbs,srtm_alt_mean,srtm_alt_median,srtm_alt_min,srtm_alt_max,alt_min0,alt_range,soilcount,PREC_Sum,PREC_CV,P_drie_quart,Tmean_mean,T_cold_quart,Temp_SD,Tmin_cold_month,GPP_mean,GPP_median,GPP_min,GPP_max,GPP_range,GPP_SD,NPP_mean,NPP_median,NPP_min,NPP_max,NPP_range,NPP_SD,GeologicalOrigin,Geology_3categ,DistToCont_m,DistToCont_km,NearestMainland,ensLGM_Pmean,ensLGM_Tmean,ensLGM_Pano,ensLGM_Tano,ccLGM_Tmean,ccLGM_Pmean,miLGM_Tmean,miLGM_Pmean,ccAnoTmean,ccAnoTmedian,miAnoTmean,miAnoTmedian,ccAnoPmean,ccAnoPmedian,miAnoPmean,miAnoPmedian,PLIO_PREC_30s,PLIO_TEMP_30s,PLIO_P_ANOM,PLIO_T_ANOM,Plio_Wmm_mean,Plio_Cmm_mean,Mio_Prec_Mean,Mio_Temp_Mean,VelocityMean,VelocityMedian,VelocityMeanLog,CH_Extent,CH_Mean,CH_Range,CH_CV,CH_Min,CH_Max,CH_Median,CH_SD,CH_Majority,CH_Sum,CH_Variety,CH_PercCover,CH_PercQuart4
ALU,11,Aleutian Is.,Subarctic America,NORTHERN AMERICA,OWEast,Nearctic,Old World,12624830954,12624.83095,3544994.962,52.80767461,-108.5448575,-10419367.09,5837541.361,1,0,0,255.7005,189,-9,1972,0,1972,2,1134.3395,26.5984,195.9815,36.297,-7.3747,3820.3013,-36.0043,4053.11,5063,0,14574,14574,3191.81,3858.78,3826,144,9995,9851,1383.41,volcanic,volcanic,23889.65082,23.88965082,ASK,908.2944,46.9092,230.5156,-9.7562,40.7957,929.7763,52.8447,888.4899,-3.7684,-1,-15.5645,-17,209.211,176,249.4155,224,3242.81,62.0025,-2107.24,-25.5704,0,0,4.5785,12.3255,0.549631205,0.577267349,-0.328205275,1,,,,,,,,,,,,
AMU,12,Amur,Russian Far East,ASIA-TEMPERATE,OWEast,Palearctic,Old World,3.61579E+11,361578.6698,5143553.99,53.39992279,127.7254487,12330994.67,5875756.448,0,0,0,534.2048,452,72,2358,72,2286,13,576.6125,89.0594,22.685,-48.68875,-280.5411,17135.1172,-365.8986,7002.52,7412,0,12429,12429,1712.48,3619.58,3822,225,7173,6948,814.072,mainland,mainland,,,,425.3603,-101.0899,151.2604,52.4387,-111.8626,405.619,-89.814,445.5981,63.2106,65,41.1379,42,170.9935,170,131.0871,112,2439.75,-13.0861,-1863.14,-35.5452,18.8452,-23.645,2.91278,-2.14131,6.672375674,5.391100407,0.720953324,1,12.5721,57,0.368919274,1,58,12,4.63809,12,13855000,41,0.52862481,0.019171308
AND,13,Andaman Is.,Indo-China,ASIA-TROPICAL,OWEast,IndoMalay,Old World,5930963755,5930.963755,1132372.354,12.27981668,92.78133014,8952075.257,1554429.397,1,25,1,58.2196,41,-16,718,0,718,5,2922.9719,75.5446,69.7407,265.5384917,258.3032,669.7572,224.0162,29367.5,36232,0,38738,38738,12972.5,15579,17138,1130,18426,17296,3713.52,volcanic,volcanic,135610.6521,135.6106521,MYA,2811.7681,253.9907,107.756,11.8734,258.3342,4019.6372,249.8745,1604.0247,7.4799,8,16.0911,16,-1099.2472,-1018,1312.5962,1370,7368.73,298.009,-4439.57,-32.4239,0,0,0,0,1.961907171,1.968326032,0.253494821,1,17.4901,19,0.356782408,7,26,19,6.24016,13,7101,5,0.019305754,0.005468379
ANG,14,Angola,South Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,1.24051E+12,1240509.361,6126254.098,-12.33575541,17.57181621,1695227.757,-1554985.049,0,19,1,1076.327,1139,-14,2542,0,2542,15,1020.4399,91.6658,4.4508,215.954125,187.6758,1862.7209,94.8465,14243.6,14302,0,32496,32496,5323.29,7658.6,7783,545,17395,16850,2544.89,mainland,mainland,,,,891.8901,190.8707,127.7702,25.1601,191.5655,789.1395,190.6695,995.1856,24.4629,25,25.3701,26,230.7105,249,24.2647,35,3327.59,250.788,-2309.02,-34.7466,27.7237,20.8117,2.89045,24.5073,6.09545633,5.700497389,0.737142889,1,10.0415,46,0.475803416,1,47,8,4.77778,8,5470300,43,0.123677447,0.003853349
ANT,15,Antarctica,Antarctic Continent,ANTARCTIC,,Antarctica,,1.24032E+13,12403228.64,144842901.6,-80.44380799,21.3087019,3524356.012,-7102699.84,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,mainland,mainland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
ARI,16,Arizona,Southwestern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,2.94229E+11,294228.8807,2302403.647,34.29669616,-111.6575963,-10773225.91,4120112.905,0,1,1,1294.5059,1416,25,3709,25,3684,4,320.6145,49.2712,30.4446,150.1526917,56.9123,7527.0928,-24.1694,3265.98,2698,0,18417,18417,1896.09,1769.61,1486,226,10430,10204,899.016,mainland,mainland,,,,587.5712,66.2018,-266.9699,83.9805,43.0825,429.604,89.8276,745.8956,107.0984,109,60.3718,60,-109.041,-86,-425.3252,-407,1279.07,195.044,-958.424,-44.845,34.5745,4.91452,0.489429,19.0582,6.408322233,5.310468912,0.718475407,1,22.1819,39,0.291436261,1,40,23,6.46461,19,1446750,35,0.053014379,0.027521601
ARK,17,Arkansas,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.37546E+11,137545.6345,1701670.492,34.90084347,-92.44235749,-8919596.202,4186449.603,0,1,1,165.4018,104,18,832,18,814,6,1263.4662,18.317,255.9293,156.9042,48.2229,8084.8101,-25.1837,12849.1,14052,0,23294,23294,3437.55,5469.65,5498,839,11406,10567,1075.12,mainland,mainland,,,,1785.1471,-42.5277,-521.7299,199.4686,-69.9964,1471.9913,-14.5579,2098.7449,226.9356,227,171.4942,172,-208.5516,-208,-835.2469,-773,2587.36,184.697,-1324.04,-27.7799,32.859,4.366,2.74671,22.6806,54.3699645,54.83714485,1.710216006,1,18.3134,62,0.244442321,1,63,19,4.47657,21,4476160,45,0.422551038,0.029417104
ARU,18,Aruba,Caribbean,SOUTHERN AMERICA,NewWorld,Neotropics,New World,206400138,206.400138,69757.73713,12.51668736,-69.97713313,-6751832.555,1584454.559,1,0,0,33.4115,26,-4,129,0,129,1,421.3045,64.3539,39.5391,273.015775,259.9012,909.3416,228.3786,4937.59,3597,0,17327,17327,5136.74,5169.32,5315,1254,10750,9496,1617.96,volcanic,volcanic,29134.72495,29.13472495,VEN,359.4146,251.2327,60.3992,21.8848,259.0473,323.8727,243.4291,399.7455,13.8066,14,29.03,30,98.0082,95,22.3,19,422.52,253.895,-1.87892,19.2197,0,0,0,0,1.924251993,1.727304459,0.270298755,1,,,,,,,,,,,,
ASC,19,Ascension,Middle Atlantic Ocean,AFRICA,OWEast,Afrotropics,Old World,98415550.32,98.41555032,37766.66015,-7.938079755,-14.3632866,-1385860.093,-1009535.994,1,0,0,162.0517,108,-6,768,0,768,1,188.5689,47.0172,23.6897,253.13505,238.4483,1211.0259,223.2759,2349.22,0,0,21587,21587,3860.59,3156.18,2089,1187,11638,10451,2340.71,volcanic,volcanic,1685334.98,1685.33498,LBR,182.252,235.7087,6.6379,17.5948,236.8898,174.7402,234.5512,190.8189,16.1983,17,21.9837,21,14.5,9,-14.122,-9,558.814,273,-368.766,-20.1441,0,0,0,0,0.539346159,0.539346159,-0.26813241,1,,,,,,,,,,,,
ASK,20,Alaska,Subarctic America,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.4979E+12,1497900.341,35617971.09,64.3050013,-152.4712039,-14698008.15,6567538.362,0,0,0,461.2849,303,-246,6098,0,6098,6,468.1822,57.7316,66.28,-55.61761667,-199.4249,11789.4375,-252.7771,3345.65,3338,0,17157,17157,2017.21,2142.87,2039,0,11348,11348,1079.92,mainland,mainland,,,,412.6489,-45.3057,60.9725,-9.9709,-52.3885,412.7553,-37.7476,412.8662,-2.8224,-5,-17.6553,-19,61.3616,64,59.9459,34,2236.85,-27.4629,-1761.63,-27.8559,11.3992,-17.4819,2.98196,1.07004,2.289839822,1.335871339,0.031903404,1,23.4322,63,0.504924847,1,64,22,11.8315,11,25279700,64,0.090882593,0.044517004
ASP,21,Amsterdam-St.Paul Is.,Subantarctic Islands,ANTARCTIC,OWEast,Antarctica,Old World,71984714.82,71.98471482,41023.52042,-37.97862444,77.53285553,7480859.116,-4505413.717,1,0,0,295.9445,246,1,822,1,821,1,1163.537,11.8148,263.2592,121.7191333,96.463,2152.0925,74,7375.11,0,0,30412,30412,9044.43,10751.8,10455,1643,19645,18002,4529.99,volcanic,volcanic,3629491.471,3629.491471,WAU,1280.8591,101.8169,-113.7037,19.3148,95,1207.5769,107.4231,1361.8718,25.0926,25,20.4865,20,-38.537,-40,-220.527,-236,2696.31,162.215,-1541.19,-40.4151,0,0,0,0,0.455358982,0.455358982,-0.341646092,1,,,,,,,,,,,,
ASS,22,Assam,Indian Subcontinent,ASIA-TROPICAL,OWEast,IndoMalay,Old World,1.71289E+11,171289.3543,2983735.759,25.48271994,92.85194347,8958665.048,3145187.498,0,40,1,464.0418,209,0,3134,0,3134,7,2500.3132,85.664,50.0547,225.1418167,168.6252,3721.4417,95.2841,19331.8,19205,0,28480,28480,7153.56,9476.54,9094,771,15813,15042,2776.22,mainland,mainland,,,,2623.05,197.0592,-122.6883,28.1174,197.3881,2613.3511,197.2181,2635.2393,27.7811,28,28.0532,29,-111.9088,-147,-134.3811,-91,4986.34,212.382,-2486.8,12.8167,28.09,11.5013,3.54591,12.9635,4.89132611,2.706121087,0.466330707,1,28.9115,44,0.152295453,1,45,29,4.40309,29,9089250,38,0.479153934,0.459700146
