"LEVEL_3_CO","meanFruitLength","curr_meanBodySize","presNat_meanBodySize"
"PUE",1.14625,3.08582325646548,3.71071681141245
"QLD",2.32386363636364,5.65054889141227,5.58450972713828
"REU",1.95,NA,5.49534246919447
"ROD",2.5,5.53654655528029,5.53654655528029
"RWA",6.0375,6.44206883905848,6.48589317251306
"SAM",5.81666666666667,5.73657229747919,3.78856096543834
"SAR",1.3,7.36912941854827,7.03221245669086
"SAU",4.05,6.94069307673251,7.37320129828815
"SCA",1.4875,5.70656025202851,5.91172667539927
"SCZ",8.75,5.14010509588932,5.28927777063152
"SEN",6.69,7.52833936845272,8.03838698400778
"SEY",8.675,6.12468339089421,6.12468339089421
"SIC",1.3,6.87128966358319,7.8943534622629
"SIE",4.61666666666667,7.16207194208754,7.19160335129976
"SIN",6.5,6.99251296992535,8.16023221752183
"SOL",3.31810344827586,5.14266177214828,5.2572975897881
"SOM",4.17142857142857,7.85668695634371,7.91419441863014
"SPA",1.3,7.75011020961696,7.9160183117274
"SRL",3.62222222222222,7.55329548486016,7.55329548486016
"SUD",5.91666666666667,7.00939605852903,7.09503758439075
"SUL",2.09536585365854,5.6867151318315,5.6867151318315
"SUM",2.25256302521008,6.25695164136937,6.32574973208573
"SUR",2.812,4.65259148840727,4.6740205749919
"SWC",0.9,5.65824265407341,5.65824265407341
"SWZ",1.9,6.67111213945778,6.71361627130317
"TAI",1.78125,6.32635868378686,6.32635868378686
"TAN",5.47222222222222,6.6051506765495,6.61819364124381
"TCI",1.108,2.8706354595336,2.8706354595336
"TEX",1.125,5.57471680555234,5.8635972794273
"THA",2.30204402515723,6.368039441379,6.59873747088499
"TOG",6.48888888888889,NA,NA
"TOK",22.5,NA,NA
"TON",4.075,NA,NA
"TRT",2.22285714285714,4.40976988432578,4.49506985409393
"TUA",1.5,NA,NA
"TUN",1.3,7.04382130624048,8.55722441299441
"TUR",1.5,6.15675315902231,6.15675315902231
"TVL",6.225,6.58978912691306,6.61736406028647
"UGA",4.98333333333333,6.56281113081738,6.71488004325096
"URU",2.30714285714286,6.66883763017187,6.66883763017187
"VAN",4.5,5.18559423071427,5.18559423071427
"VEN",2.24476315789474,4.93821323919433,4.93821323919433
"VIC",1.7,4.97453886886801,4.97453886886801
"VIE",2.16880434782609,6.54457382929317,6.9859895814305
"VNA",1.71666666666667,3.51659605566122,3.51659605566122
"WAL",7,NA,NA
"WAU",1.63,5.11374835888952,5.04429463300003
"WHM",1.75833333333333,7.6572067491546,7.74956286641544
"WIN",1.93909090909091,3.21152255817974,3.20521563841893
"XMS",1.5,5.92692602597041,5.31205289006851
"YEM",2.91666666666667,7.56381195840438,7.910890614764
"ZAI",4.69428571428571,6.22682544234569,6.27087901429228
"ZAM",5.26666666666667,6.35640664052039,6.34053534164866
"ZIM",6.975,6.68629538662361,6.71969156132927
