"LEVEL_3_CO","meanFruitLength","curr_meanBodySize","presNat_meanBodySize","ID","LEVEL_NAME","REGION_NAM","CONTINENT","THREEREALM","REALM_LONG","NEOPALEO","AREA_M2","AREA_KM2","PERIMETER","LAT","LONG","X_COORD","Y_COORD","ISISLAND","PALMSR","PalmPresAbs","srtm_alt_mean","srtm_alt_median","srtm_alt_min","srtm_alt_max","alt_min0","alt_range","soilcount","PREC_Sum","PREC_CV","P_drie_quart","Tmean_mean","T_cold_quart","Temp_SD","Tmin_cold_month","GPP_mean","GPP_median","GPP_min","GPP_max","GPP_range","GPP_SD","NPP_mean","NPP_median","NPP_min","NPP_max","NPP_range","NPP_SD","GeologicalOrigin","Geology_3categ","DistToCont_m","DistToCont_km","NearestMainland","ensLGM_Pmean","ensLGM_Tmean","ensLGM_Pano","ensLGM_Tano","ccLGM_Tmean","ccLGM_Pmean","miLGM_Tmean","miLGM_Pmean","ccAnoTmean","ccAnoTmedian","miAnoTmean","miAnoTmedian","ccAnoPmean","ccAnoPmedian","miAnoPmean","miAnoPmedian","PLIO_PREC_30s","PLIO_TEMP_30s","PLIO_P_ANOM","PLIO_T_ANOM","Plio_Wmm_mean","Plio_Cmm_mean","Mio_Prec_Mean","Mio_Temp_Mean","VelocityMean","VelocityMedian","VelocityMeanLog","CH_Extent","CH_Mean","CH_Range","CH_CV","CH_Min","CH_Max","CH_Median","CH_SD","CH_Majority","CH_Sum","CH_Variety","CH_PercCover","CH_PercQuart4","PC1","PC2","PC3"
"BAH",1.02375,209.325,209.325,26,"Bahamas","Caribbean","SOUTHERN AMERICA","NewWorld","Neotropics","New World",12812504823,12812.50482,3143053.264,24.1666829,-76.5004385,-7379381.122,2991044.931,1,8,1,5.6312,5,-9,51,0,51,2,1043.1108,54.7133,113.3606,251.600275,220.4866,2331.9294,181.7657,15300.2,13882,0,40047,40047,13639.8,12389.4,12168,1069,21158,20089,5647,"atoll","atoll",101414.353,101.414353,"FLA",798.149,227.6978,242.0049,23.884,229.0192,827.7239,226.775,769.6797,22.2591,20,25.0843,25,211.4264,190,272.3766,261,3273.22,288.577,-2248.84,-36.9968,0,0,0,0,10.21291001,9.97500658,1.006354645,1,16.0766,50,0.462419293,1,51,15,7.43413,15,175074,31,0.224166324,0.03161795,1.14396565153949,0.713537999784678,0.560856489345109
"BAL",1.3,120,120,27,"Baleares","Southwestern Europe","EUROPE","OWWest","Palearctic","Old World",5101606320,5101.60632,568737.1564,39.55938907,2.900068554,279543.8745,4663445.719,1,1,1,136.2481,93,-9,1212,0,1212,3,587.5293,48.6946,50.5468,162.0914417,102.7507,5108.7637,62.6722,13892,13239,0,34365,34365,5418.92,9895.35,9233,1190,21548,20358,2830.64,"continental","continental",97180.71312,97.18071312,"SPA",691.1954,135.9776,-105.8708,26.5214,131.8925,648.0154,140.4062,735.6234,30.5575,31,21.9826,22,-61.8455,-57,-150.8802,-156,688.332,191.71,-100.25,-29.7813,0,0,0,0,2.839018193,3.091536999,0.397948258,1,12.6897,8,0.227742185,6,14,14,2.88998,14,1104,3,0.003817296,NA,-0.399647057116912,0.547516568626965,0.64385819613262
"BAN",2.87894736842105,63693.7214285714,142882.7296875,28,"Bangladesh","Indian Subcontinent","ASIA-TROPICAL","OWEast","IndoMalay","Old World",1.38821e+11,138820.8579,5332258.447,23.8330072,90.27092576,8710329.06,2953758.353,0,27,1,28.5803,13,-12,936,0,936,7,2224.9278,91.387,34.0618,255.0166167,198.5226,3605.0608,120.984,12120.7,11669,0,31636,31636,5673.3,5894.06,5594,0,14486,14486,1884.82,"mainland","mainland",NA,NA,"",2134.7151,232.9697,96.2046,22.2841,229.553,1842.8392,236.8778,2426.9172,25.6735,26,18.407,18,375.0092,328,-178.3728,39,4801.87,256.326,-2598.85,-0.7479,33.4177,15.7423,6.984,21.275,8.454035763,8.701183796,0.897372943,1,20.1772,51,0.339255199,1,52,23,6.84522,24,1238110,35,0.116903381,0.059865306,1.38243792364276,1.20698769562482,-1.14387960099309
"BEN",6.16071428571429,78266.2095238095,88329.5765625,29,"Benin","West Tropical Africa","AFRICA","OWWest","Afrotropics","Old World",1.16173e+11,116173.2028,1991377.562,9.647649967,2.343262705,226035.1343,1223871.065,0,15,1,267.2631,284,-6,667,0,667,11,1062.9793,91.2453,14.4188,271.7743083,252.1247,1676.9091,184.7247,11113.4,11342,0,31205,31205,3955.64,4939.25,5030,0,14316,14316,1919.98,"mainland","mainland",NA,NA,"",1334.3163,246.0522,-270.9685,25.7643,237.7482,1027.6685,254.8461,1641.5099,34.0639,34,16.9575,17,35.3395,30,-577.5857,-507,4221.46,305.481,-3156.8,-33.6735,32.598,27.125,5.86133,26.9767,6.214145117,6.415551662,0.778409877,1,3.68083,23,0.695940861,1,24,3,2.56164,3,55183,15,0.036711446,0.000156719,1.26683119573429,1.97852559041636,-0.0526552010326662
"BER",1.7,NA,NA,30,"Bermuda","Caribbean","SOUTHERN AMERICA","NewWorld","Nearctic","New World",40249936.66,40.24993666,74531.07486,32.31349498,-64.75637722,-6248104.038,3912245.234,1,1,1,15.7955,10,-4,44,0,44,1,1479.5455,13.1818,318.5682,215.3901417,172.1591,3630.3408,144.1818,6391.93,0,0,33735,33735,9213.99,10978.2,10871,5008,19156,14148,2979.78,"atoll","atoll",1042183.654,1042.183654,"MAS",1544.035,201.7895,-63.7727,13.7273,207.6491,2026.1404,196.6491,1067.9824,7.7273,8,18.5,18,-541.7727,-541,416.5,411,5292.24,255,-3811.57,-39.587,0,0,0,0,4.6645751,4.6645751,0.66881209,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23753057618541,-1.37227341524254,0.730964290269562
"BIS",3.60095238095238,785.011904761905,799.180487804878,32,"Bismarck Archipelago","Papuasia","ASIA-TROPICAL","OWEast","Australasia","Old World",48922690771,48922.69077,3491847.168,-4.936891376,150.6265362,14533423.54,-628731.5466,1,23,1,409.8501,276,-35,2153,0,2153,5,3426.9629,26.1429,634.7924,246.50265,239.9489,431.2138,204.9019,25790.2,26386,0,38596,38596,7230.24,10776.4,10331,138,18474,18336,3179.71,"mixed","volcanic",754253.13,754.25313,"QLD",3238.0623,228.037,190.1968,19.5693,224.3276,2901.8838,232.1048,3574.6309,23.1967,24,15.6919,16,520.0878,503,-136.6423,-13,8892.23,308.377,-5505.96,-61.8162,30.4133,29.2033,8.584,29.9846,1.095699467,0.659174591,-0.109283188,1,23.1695,39,0.151058935,2,41,23,3.49996,24,2136410,36,0.541679884,0.334613984,3.6214441974297,-2.97498726852628,-1.08631689779257
"BKN",7.41428571428571,113795.065116279,129604.872093023,33,"Burkina","West Tropical Africa","AFRICA","OWWest","Afrotropics","Old World",2.72332e+11,272332.4047,2957035.098,12.27793715,-1.739835211,-168178.3106,1553710.855,0,5,1,299.6902,296,144,709,144,565,10,763.9194,115.0352,3.5336,280.6313833,256.1678,2203.4683,167.2738,5183.22,4975,0,18704,18704,3079.78,1851.89,1573,0,7836,7836,1510.37,"mainland","mainland",NA,NA,"",1014.2462,257.9538,-250.422,22.7193,250.9824,762.0588,265.4167,1266.799,29.6918,30,15.2537,15,1.7659,9,-502.9427,-414,2656.88,320.492,-1892.86,-39.8219,34.6952,27.0005,5.50264,27.6421,7.148215608,7.331679821,0.846630509,1,2.03509,3,0.363965721,1,4,2,0.740703,2,21403,4,0.01089305,NA,1.09284885264589,2.66413402808378,-0.373554697344283
"BLZ",1.58175,5854.38333333333,5854.38333333333,36,"Belize","Central America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",22143246350,22143.24635,1061044.935,17.21852829,-88.68278545,-8556716.839,2164161.333,0,38,1,162.8661,39,-6,1072,0,1072,6,2049.5714,53.4743,173.8355,248.1384,225.9991,1571.2899,179.3671,24370.1,27691,0,38790,38790,7681.85,10956.5,11473,745,19563,18818,2002.33,"mainland","mainland",NA,NA,"",2314.2791,226.9743,-272.287,21.4056,223.5049,3072.6086,230.9497,1556.7451,24.8836,26,17.3826,18,-1032.9668,-1018,488.7115,442,463.832,315.799,1593.9,-67.7538,34.315,27.22,0,0,4.246077723,4.081520081,0.562318917,1,20.5542,49,0.348333674,3,52,20,7.15972,23,1338900,42,0.811592036,0.333146445,1.86724701709828,0.0141671238516466,-0.186409607838132
"BOL",2.74493506493506,3695.11912568306,3695.11912568306,37,"Bolivia","Western South America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",1.08653e+12,1086526.425,5782400.312,-16.71510989,-64.67054847,-6240407.203,-2094955.191,0,78,1,1289.5878,330,73,6204,73,6131,17,1149.4767,75.7812,80.6597,204.1818083,174.8749,1976.5109,94.7303,14557.6,14683,0,33187,33187,8438.04,5573.74,4586,0,21297,21297,3759.88,"mainland","mainland",NA,NA,"",1143.625,173.3208,5.9013,30.9123,174.8228,1126.4164,172.3189,1161.4141,29.4091,28,31.9148,32,23.1308,10,-11.8908,24,4139.98,229.788,-2990.49,-25.5539,26.1704,17.3119,3.38488,23.6083,7.110888785,8.057277203,0.667919138,1,17.5065,51,0.454722532,1,52,19,7.9606,19,27826800,52,0.404208085,0.091263417,0.799587875802479,1.04164283904671,-0.0893133555344393
"BOR",1.94833992094862,43399.1754545455,43399.1754545455,38,"Borneo","Malesia","ASIA-TROPICAL","OWEast","IndoMalay","Old World",7.4017e+11,740170.3557,8409117.137,0.867901314,114.2000407,11018599.57,110314.8227,1,275,1,250.964,91,-21,3920,0,3920,12,3011.2395,22.4148,542.6224,255.4750167,251.3173,293.2633,213.1612,25937.5,26327,0,43119,43119,4552.83,10057.7,10056,0,21853,21853,2399.37,"continental","continental",143402.1405,143.4021405,"MLY",2398.5601,228.6644,610.3823,26.9242,231.0682,2102.2104,226.7475,2695.3567,24.5043,24,28.8512,29,908.2636,906,311.952,404,8838.6,289.463,-5825.46,-33.9082,29.1713,27.8727,5.87017,27.4507,5.415152421,4.41748333,0.566182782,1,17.9902,52,0.454834299,1,53,18,8.18256,21,42450500,53,0.918963442,0.259429924,3.33366223998919,-2.44980039579981,-0.536698221495962
